"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"626","205114_s_at",3.42793589286349,10.8505403667129,6.29729372229221,1.09373258990755e-05,0.000866432931677044,3.54714417459984,"CCL3L3","C-C motif chemokine ligand 3 like 3"
"1271","215411_s_at",0.732428211172538,9.6775935359855,6.29751441987274,1.09328825131461e-05,0.000866432931677044,3.54754737215965,"TRAF3IP2","TRAF3 interacting protein 2"
"149","1560109_s_at",1.14296136518592,7.82000697636988,6.294262302172,1.09985491021449e-05,0.000867154388194949,3.54160529649947,NA,NA
"1732","224928_at",-0.763488916350898,9.57809167739109,-6.29401445519199,1.10035704139875e-05,0.000867154388194949,3.54115238315568,"SETD7","SET domain containing 7, histone lysine methyltransferase"
"1917","227078_at",0.798596870135099,7.87101573116699,6.29441660896699,1.09954240929864e-05,0.000867154388194949,3.54188727090685,"STIMATE","STIM activating enhancer"
"1918","227078_at",0.798596870135099,7.87101573116699,6.29441660896699,1.09954240929864e-05,0.000867154388194949,3.54188727090685,"STIMATE-MUSTN1","STIMATE-MUSTN1 readthrough"
"1933","227193_at",1.63277576609522,6.91604662166543,6.29185265559053,1.10474691375334e-05,0.000869284990084967,3.53720155705156,"SLC30A4","solute carrier family 30 member 4"
"2368","241749_at",-1.31448690586334,6.5134861126296,-6.29111742701946,1.10624405930649e-05,0.000869284990084967,3.53585772764999,"CAVIN4","caveolae associated protein 4"
"1807","225827_at",1.14538424900808,7.96596322989906,6.28937101948493,1.10980873593444e-05,0.000870833110568785,3.53266538451766,"AGO2","argonaute RISC catalytic component 2"
"977","210659_at",1.57646316630337,6.89225557608773,6.2833146190695,1.1222636032102e-05,0.00087934264221117,3.52159121409255,"CMKLR1","chemerin chemokine-like receptor 1"
"2177","232375_at",1.17126561014627,7.30849293601504,6.28105068716136,1.1269565942613e-05,0.000881754734704758,3.51745025102928,NA,NA
"2407","242982_x_at",1.54420591139343,8.30153029337029,6.27377050791127,1.14218682394748e-05,0.000892392689788896,3.50412908867282,"ITGB8","integrin subunit beta 8"
"587","204774_at",-0.946522079067821,9.90621268674689,-6.27247306845517,1.14492348651527e-05,0.00089325294812941,3.50175425770167,"EVI2A","ecotropic viral integration site 2A"
"530","204205_at",1.15968409684161,8.90228808168493,6.27027264503056,1.14958039907521e-05,0.000895606766543432,3.49772605618026,"APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"439","203146_s_at",0.846508605364132,5.60373952964348,6.26792528553125,1.15457000975462e-05,0.000898212705736878,3.49342810331982,"GABBR1","gamma-aminobutyric acid type B receptor subunit 1"
"1269","215342_s_at",0.913318828103844,7.9812504142866,6.26646580961202,1.15768366402725e-05,0.000899353882553631,3.49075544462005,"RABGAP1L","RAB GTPase activating protein 1 like"
"2342","240173_at",-1.02180013211964,8.26148485400122,-6.26530103825988,1.16017486032494e-05,0.000900008943848381,3.48862224390216,"GPRIN3","GPRIN family member 3"
"254","201278_at",-0.727885534540697,11.7182949951975,-6.26218468592997,1.16686752571141e-05,0.000903754219236376,3.48291390008165,"DAB2","DAB adaptor protein 2"
"2383","242313_at",-1.11892581840769,5.44749581153735,-6.26151431588013,1.16831245084665e-05,0.000903754219236376,3.48168577582158,"MAP4K3-DT","MAP4K3 divergent transcript"
"2352","240796_at",1.24721780022635,6.27322730352948,6.25932531621226,1.17304362623431e-05,0.000906130573685069,3.47767506066256,NA,NA
"1010","211019_s_at",1.11917697459845,6.13984039231704,6.2581395232973,1.17561484689871e-05,0.000906216787163713,3.47550214882273,"LSS","lanosterol synthase"
"1861","226474_at",1.30305321604956,8.15752460014441,6.25774393782628,1.17647392031032e-05,0.000906216787163713,3.47477721167685,"NLRC5","NLR family CARD domain containing 5"
"497","203853_s_at",0.964157614767187,10.0208447472067,6.25076948299236,1.19172771133116e-05,0.000916673598576459,3.46199238094457,"GAB2","GRB2 associated binding protein 2"
"1459","219557_s_at",0.863021720432502,6.00003153765637,6.24968263543475,1.19412321215969e-05,0.000917224345790112,3.45999946183422,"NRIP3","nuclear receptor interacting protein 3"
"2127","231078_at",1.28812757963388,6.78929484463723,6.24412181274943,1.20645832471648e-05,0.000925397591119956,3.44980011333211,"SLC25A37","solute carrier family 25 member 37"
"299","201649_at",0.492216467859878,12.3092353216329,6.24231422915678,1.21049641832714e-05,0.000926050745145906,3.44648379477103,"UBE2L6","ubiquitin conjugating enzyme E2 L6"
"1613","222703_s_at",0.811837605679557,8.29995139945004,6.24222274100862,1.2107011737758e-05,0.000926050745145906,3.44631593185805,"YRDC","yrdC N6-threonylcarbamoyltransferase domain containing"
"1975","227985_at",1.71083544714576,8.6811065818855,6.23806274985407,1.22004961960334e-05,0.000931896082173389,3.43868189775992,"GIRGL","glutamine insufficiency regulator of glutaminase lncRNA"
"765","207535_s_at",1.96679760480653,6.47673864110588,6.23054610651997,1.23713208251729e-05,0.000943624223778168,3.42488178524424,"NFKB2","nuclear factor kappa B subunit 2"
"2371","241819_at",1.75846355379777,4.96899581423542,6.22682597606944,1.24567835374446e-05,0.000947804673524883,3.41804886629522,"TNFSF8","TNF superfamily member 8"
"2452","31845_at",0.545708558586414,9.93450365763212,6.22665014041385,1.24608381812181e-05,0.000947804673524883,3.4177258527904,"ELF4","E74 like ETS transcription factor 4"
